id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670abaf22b7b7acd38bbe445,Pure Eats,66e99466351d5306ad49845c,Basil and Garlic Chicken,5640,5640.22,,,1,1 each,,"Chicken, Water, Basil, Black Pepper, Canola Oil, Garlic, Salt",66e99466351d5306ad49845c,,220
670abaf22b7b7acd38bbe455,Pure Eats,66e99466351d5306ad49845c,Chickpea Pasta with Pesto Sauce,12946,12946.16,Pasta made with chickpeas tossed with pesto sauce,,2,1 cup,,"Water, Chickpea Rotini, Canola Oil, Basil, Parsley, Salt, Garlic",66e99466351d5306ad49845c,,360
670abaf22b7b7acd38bbe44e,Pure Eats,66e99466351d5306ad49845c,Zucchini with Cherry Tomatoes,104007,104007.0,Citrus Grilled Zucchinin and Tomato,,3,1/2 cup,,"Zucchini, Tomatoes, Lemon Juice, Olive Oil, Salt, Black Pepper",66e99466351d5306ad49845c,,25
670abaf22b7b7acd38bbe448,Pure Eats,66e99466351d5306ad49845c,Bruschetta Topping,102727,102727.1,"Fresh tomato, basil, garlic & oil",,4,1/4 cup,,"Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Onions, Canola Oil, Garlic, Salt, Basil, Basil, Black Pepper, Parsley",66e99466351d5306ad49845c,,50
670abaf22b7b7acd38bbe452,Pure Eats,66e99466351d5306ad49845c,Spicy Cucumber Chickpea Salad,138808,138808.0,"Smashed Cucumber Salad with Crispy Chickpea, Onions, Bell Peppers, and Garlic",,5,4 ounce,,"Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA), Cucumber, Onions, Red Bell Peppers, Lime Juice, Olive Oil, Garlic, Salt, Paprika (Paprika and Silicon Dioxide), Garlic, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Cardamom, Ginger (Ginger and Sulfur Dioxide), Oregano, Paprika (Paprika and Silicon Dioxide), Cayenne Pepper",66e99466351d5306ad49845c,,100
670abaf22b7b7acd38bbe458,Pure Eats Soup,66e99466351d5306ad49845d,Butternut Squash Soup,19061,19061.0,,,2,1 ladle-6oz,,"Squash, Water, Onions, Celery, Vegetable Base, Oregano, Salt, Olive Oil, Bay Leaf, Nutmeg, Black Pepper",66e99466351d5306ad49845d,,50
670abaf22b7b7acd38bbe461,Pure Eats Salad,66e99466351d5306ad49845e,Tomato Onion Salad,43969,43969.0,Simple salad to complement Indian Curry,,1,1/2 cup,,"Tomatoes, Onions, Lemon Juice, Canola Oil, Salt, Black Pepper",66e99466351d5306ad49845e,,25
670abaf22b7b7acd38bbe45d,Pure Eats Salad,66e99466351d5306ad49845e,Honeydew and Cantaloupe,5251,5251.4,,,2,1/2 cup,,"Honeydew Melon, Cantaloupe",66e99466351d5306ad49845e,,15
670abaf22b7b7acd38bbe46e,Pure Eats Pizza,66e99466351d5306ad49845f,Pure Eats Vegetable Pizza,102538,102538.1,"Crispy golden crust with green peppers, fresh mushrooms, and red onions baked to perfection.",,1,1 slice,,"Gluten Free Pizza Crust, Green Bell Peppers, Onions, Mushrooms, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Balsamic Vinegar Glace, Salt, Black Pepper, Basil, Garlic, Black Pepper",66e99466351d5306ad49845f,,150
670abaf22b7b7acd38bbe467,Pure Eats Pizza,66e99466351d5306ad49845f,Pure Eats BBQ Chicken Pizza,102517,102517.1,"Tangy BBQ, Chicken  Pizza with Onions",,2,1 slice,,"Gluten Free Pizza Crust, Barbecue Sauce, Chicken, Chicken, Onions, Canola Oil",66e99466351d5306ad49845f,,170
