id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670ab1f42b7b7acd385eab23,Comfort 1,66e1fc2de45d43074be3a101,Chicken Cacciatore,103924,103924.1,"Braised chicken breast in a garlic, and tomato sauce",,1,4 ounce,,"Chicken, Tomatoes, Water, Green Bell Peppers, Onions, Canola Oil, Garlic, Salt, Chicken Base, Basil, Black Pepper, Rosemary, Bay Leaf",66e1fc2de45d43074be3a101,,210
670ab1f42b7b7acd385eaaaf,Comfort 1,66e1fc2de45d43074be3a101,Cheese Lasagna,15931,15931.14,Classic Lasagna with Ricotta Cheese and Scratch Made Marinara,,3,9 oz portion,,"Part Skim Ricotta Cheese, Crushed tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), Part Skim Mozzarella Cheese, Lasagna, Tomato puree (tomato puree, water, tomato paste, citric acid), Egg, Parmesan Cheese, Onions, Olive Oil, Salt, Garlic, Black Pepper, Basil, Oregano, Red Pepper",66e1fc2de45d43074be3a101,,340
670ab1f42b7b7acd385eab04,Comfort 1,66e1fc2de45d43074be3a101,Tahini Parmesan Roasted Broccoli,168244,168244.0,Crispy panko and parmesan topped roasted broccoli in a lemon tahini sauce,,4,1/2 cup,,"Broccoli, Sesame Tahini Paste, Panko Bread Crumbs, Parmesan Cheese, Olive Oil, Lemon Juice, Lime, Salt, Red Pepper, Black Pepper",66e1fc2de45d43074be3a101,,340
670ab1f42b7b7acd385eaaa5,Comfort 2,66e1fc2de45d43074be3a102,Mushroom Pilaf,5461,5461.0,Brown rice with mushrooms,,1,1/2 cup,,"Water, Brown Rice, Mushrooms, Onions, Sunflower Seeds, Celery, Canola Oil, Vegetable Base, Salt, Parsley, Marjoram, Thyme",66e1fc2de45d43074be3a102,,160
670ab1f42b7b7acd385eab19,Comfort 2,66e1fc2de45d43074be3a102,Steamed Fresh Zucchini,33992,33992.17,Steamed Fresh Zucchini,,2,1 cup,,Zucchini,66e1fc2de45d43074be3a102,,30
670ab1f42b7b7acd385eaa77,Rooted 1,66e1fc2de45d43074be3a103,"Jerk Marinated Seitan, Pepper Skewer",116696,116696.0,,,1,1 each,,"Seasoned Wheat Gluten Seitan, Green Bell Peppers, Red Bell Peppers, Orange Juice, White Wine Vinegar, Dijon Mustard, Chili Peppers, Oil, Black Pepper, Parsley, Salt, Rosemary, Ground Allspice, Thyme, Basil, Cinnamon",66e1fc2de45d43074be3a103,,130
670ab1f42b7b7acd385eaa9b,Rooted 1,66e1fc2de45d43074be3a103,Steamed Green Beans,5279,5279.3,Fresh Steamed Green Beans,,2,1/2 cup,,Green Beans,66e1fc2de45d43074be3a103,,30
670ab1f42b7b7acd385eaaaa,Rooted 1,66e1fc2de45d43074be3a103,Herb Roasted Potato Wedges,103420,103420.0,Red bliss potatoes with fresh herbs and garlic,,3,4 oz portion,,"Potatoes, Canola Oil, Salt, Garlic, Parsley, Basil, Oregano, Thyme, Paprika (Paprika and Silicon Dioxide), Black Pepper",66e1fc2de45d43074be3a103,,150
670ab1f42b7b7acd385eaab6,Rooted 2,66e1fc2de45d43074be3a104,Root Vegetable Chips,96807,96807.1,"Parsnips, carrots, sweet potatoes and beets fried to perfection",,1,1-1/2 oz portion,,"Sweet Potatoes, Red Beets, Parsnips, Carrots, Salt, Black Pepper",66e1fc2de45d43074be3a104,,250
670ab1f42b7b7acd385eab0b,Rooted 2,66e1fc2de45d43074be3a104,Vegetable Pasta Salad,118396,118396.0,,,2,1/2 cup,,"Water, Penne, Tomatoes, Balsamic Vinaigrette, Broccoli, Kalamata Olives, Onions, Salt",66e1fc2de45d43074be3a104,,70
670ab1f42b7b7acd385eab14,Rooted 2,66e1fc2de45d43074be3a104,Colorful Quinoa Salad,9888,9888.6,A Great Looking Salad,,3,1/2 cup,,"Quinoa, Tomato Juice, Waters, Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA), Yellow Bell Peppers, Italian Dressing, Feta Cheese, Cucumber, Green Beans, Bell Peppers, Onions, Vegetable Base, Parsley",66e1fc2de45d43074be3a104,,150
670ab1f42b7b7acd385eacb8,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Cubed Cantaloupe,1175,1175.0,,,1,2 ounce,,Cantaloupe,66e1fc2de45d43074be3a10c,,20
670ab1f42b7b7acd385eac9a,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Cubed Pineapple,31969,31969.0,,,2,1/2 cup,,Pineapple,66e1fc2de45d43074be3a10c,,40
670ab1f42b7b7acd385eacaa,Fruit & Yogurt,66e1fc2de45d43074be3a10c,2% Greek Plain Yogurt,65282,65282.1,,,3,4 ounce,,Plain Yogurt,66e1fc2de45d43074be3a10c,,90
670ab1f42b7b7acd385eacc6,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Low Fat Vanilla Yogurt,4592,4592.0,,,4,4 ounce,,Low Fat Vanilla Yogurt,66e1fc2de45d43074be3a10c,,70
670ab1f42b7b7acd385eacbf,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Cubed Honeydew,1117,1117.0,,,5,2 ounce,,Honeydew Melon,66e1fc2de45d43074be3a10c,,20
670ab1f42b7b7acd385eacb1,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Low Fat Strawberry Yogurt,58254,58254.1,,,6,4 ounce,,Low Fat Strawberry Yogurt,66e1fc2de45d43074be3a10c,,110
670ab1f42b7b7acd385eac94,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Oats 'n Honey Granola,63400,63400.1,,,7,1 tbsp,,Granola,66e1fc2de45d43074be3a10c,,20
670ab1f42b7b7acd385ead8d,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Raisins,62348,62348.0,,,8,1 tbsp,,Raisins,66e1fc2de45d43074be3a10c,,25
670ab1f42b7b7acd385ead69,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Light Cream Cheese,79884,79884.0,,,9,1 tbsp,,Neufchatel Cream Cheese,66e1fc2de45d43074be3a10c,,40
670ab1f42b7b7acd385eac8e,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Sunflower Spread,63396,63396.1,,,10,1 tsp,,Sunflower Seed Butter,66e1fc2de45d43074be3a10c,,35
670ab1f42b7b7acd385ead60,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Grape Jelly,63393,63393.0,,,11,1 tbsp,,Grape Jelly,66e1fc2de45d43074be3a10c,,50
670ab1f42b7b7acd385eaca4,Fruit & Yogurt,66e1fc2de45d43074be3a10c,Butter,63397,63397.1,,,13,1 tbsp,,Butter,66e1fc2de45d43074be3a10c,,100
670ab1f42b7b7acd385ead5a,Fruit & Yogurt,66e1fc2de45d43074be3a10c,strawberry cream cheese,66197,66197.0,strawberry preserves blended in cream cheese,,14,2 tbsp,,"Cream Cheese, Strawberry Preserves",66e1fc2de45d43074be3a10c,,110
670ab1f42b7b7acd385eac6d,Pure Eats 1,66e1fc2de45d43074be3a108,Quinoa and ChickpeaTabouleh,10514,10514.9,"quinoa, chickpea, cucumbers, tomatoes, parsley, mint and scallions",,1,1/2 cup,,"Water, Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA), Tomatoes, Red Quinoa, Cucumber, Parsley, Canola Oil, Green Onions, Lemon Juice, Mint, Salt, Black Pepper",66e1fc2de45d43074be3a108,,130
670ab1f42b7b7acd385eac65,Pure Eats 1,66e1fc2de45d43074be3a108,Strawberries,63378,63378.0,,,2,1/4 cup,,Fresh Strawberries,66e1fc2de45d43074be3a108,,10
670ab1f42b7b7acd385eac80,Pure Eats 2,66e1fc2de45d43074be3a109,Bone-In Wings,125905,125905.3,,,1,6 each,,Chicken,66e1fc2de45d43074be3a109,,430
670ab1f42b7b7acd385eabef,Pure Eats 2,66e1fc2de45d43074be3a109,Southwestern Roasted Vegetables,35065,35065.6,,,2,1/2 cup,,"Squash, Zucchini, Carrots, Onions, Canola Oil, Garlic, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Paprika (Paprika and Silicon Dioxide), Cumin, Black Pepper, Thyme",66e1fc2de45d43074be3a109,,50
670ab1f42b7b7acd385eac3a,Pure Eats 2,66e1fc2de45d43074be3a109,French Fries,771,771.0,Crisp and golden,,3,1/2 cup,,"Potatoes, Canola Oil, Salt, Parsley",66e1fc2de45d43074be3a109,,120
670ab1f42b7b7acd385eabe5,Pure Eats 2,66e1fc2de45d43074be3a109,Chimichurri Sauce,105772,105772.3,"Fresh Herbs, Olive Oil and Citrus",,4,2 floz,,"Olive Oil, Lemon Juice, Garlic, Cilantro, Parsley, Oregano, Salt, Black Pepper, Cumin, Red Pepper",66e1fc2de45d43074be3a109,,170
670ab1f42b7b7acd385eabaf,Flame 1,66e1fc2de45d43074be3a105,Multigrain Bread,48147,48147.0,,,1,2 slice,,Seven Grain Bread,66e1fc2de45d43074be3a105,,280
670ab1f42b7b7acd385eab82,Flame 1,66e1fc2de45d43074be3a105,Whole Wheat Bread,1390,1390.0,,,2,2 slice,,Whole Wheat Bread,66e1fc2de45d43074be3a105,,140
670ab1f42b7b7acd385eabcf,Flame 1,66e1fc2de45d43074be3a105,White Bread,1251,1251.0,,,3,2 slice,,White Bread,66e1fc2de45d43074be3a105,,150
670ab1f42b7b7acd385eaba4,Flame 1,66e1fc2de45d43074be3a105,Udi's White Bread,1390,1390.3,,,4,2 slice,,Udi's Bread,66e1fc2de45d43074be3a105,,300
670ab1f42b7b7acd385eabd7,Flame 1,66e1fc2de45d43074be3a105,"Turkey Breast, House Roasted",31869,31869.8,,,5,4 oz portion,,Turkey,66e1fc2de45d43074be3a105,,150
670ab1f42b7b7acd385eab86,Flame 1,66e1fc2de45d43074be3a105,Thinly Sliced Smoked Ham,14910,14910.0,,,6,3 ounce,,Ham,66e1fc2de45d43074be3a105,,110
670ab1f42b7b7acd385eab95,Flame 1,66e1fc2de45d43074be3a105,Sliced Genoa Salami,48144,48144.27,,,7,2 ounce,,Genoa Salami,66e1fc2de45d43074be3a105,,230
670ab1f42b7b7acd385eab57,Flame 1,66e1fc2de45d43074be3a105,Tuna Salad,12043,12043.10,Classic tuna salad ,,8,3 ounce,,"Tuna, Onions, Celery, Lemon Juice, Mayonnaise, Salt, Black Pepper, Canola Oil",66e1fc2de45d43074be3a105,,60
670ab1f42b7b7acd385eabbc,Flame 1,66e1fc2de45d43074be3a105,American Cheese Slice,1748,1748.0,,,9,1 slice,,American Cheese,66e1fc2de45d43074be3a105,,50
670ab1f42b7b7acd385eabb3,Flame 1,66e1fc2de45d43074be3a105,Cheddar Cheese Slice,43037,43037.1,,,10,1 slice,,Cheddar Cheese,66e1fc2de45d43074be3a105,,60
670ab1f42b7b7acd385eabba,Flame 1,66e1fc2de45d43074be3a105,Sliced Pepper Jack Cheese,43037,43037.2,,,11,1 ounce,,Pepper Jack Cheese,66e1fc2de45d43074be3a105,,110
670ab1f42b7b7acd385eabc4,Flame 1,66e1fc2de45d43074be3a105,Sliced Cucumber,68562,68562.0,,,12,1 ounce,,Cucumber,66e1fc2de45d43074be3a105,,0
670ab1f42b7b7acd385eab90,Flame 1,66e1fc2de45d43074be3a105,Sliced Green Bell Pepper,62342,62342.0,,,13,1 ounce,,Green Bell Peppers,66e1fc2de45d43074be3a105,,5
670ab1f42b7b7acd385eab9a,Flame 1,66e1fc2de45d43074be3a105,Dill Pickle Slices,63438,63438.0,,,14,2 each,,Pickles,66e1fc2de45d43074be3a105,,0
670ab1f42b7b7acd385eac60,Flame 1,66e1fc2de45d43074be3a105,Sliced Jalapeno Pepper,13404,13404.4,,,15,1 tbsp,,Jalapeno Peppers,66e1fc2de45d43074be3a105,,0
670ab1f42b7b7acd385eabde,Flame 1,66e1fc2de45d43074be3a105,Lettuce Leaf,14957,14957.0,,,16,1 each,,Lettuce Leaf,66e1fc2de45d43074be3a105,,0
670ab1f42b7b7acd385eabd0,Flame 1,66e1fc2de45d43074be3a105,Sliced Tomatoes,47955,47955.4,,,17,2 slice,,Tomatoes,66e1fc2de45d43074be3a105,,0
670ab1f42b7b7acd385eab75,Flame 2,66e1fc2de45d43074be3a106,Sliced Red Onion,14918,14918.0,,,1,1 slice,,Onions,66e1fc2de45d43074be3a106,,5
670ab1f42b7b7acd385eab7c,Flame 2,66e1fc2de45d43074be3a106,House Fried Potato Chips ,103601,103601.0,House Made Potato Chips Fried to Perfection,,2,1-1/2 ounce,,"Potato Chips, Salt, Black Pepper",66e1fc2de45d43074be3a106,,140
670ab1f42b7b7acd385eab41,Flame 2,66e1fc2de45d43074be3a106,Sriracha Mayo,105428,105428.0,Creamy & Spicy Sriracha Mayonaise,,3,1 tbsp,,"Mayonnaise, Hot Chili Sauce",66e1fc2de45d43074be3a106,,80
670ab1f42b7b7acd385eac56,Flame 2,66e1fc2de45d43074be3a106,Chipotle Aquafaba Vegan Mayonnaise,24346,24346.0,Aquafaba vegan mayonnaise pureed with chipotle and adobo sauce with cilantro and lime juice,,4,2 tbsp,,"Chickpea Brine, Canola Oil, Lime Juice, Chipotle Peppers, Dijon Mustard, Lemon Juice, White Vinegar, Cilantro, Salt, Sugar, Cumin, Garlic",66e1fc2de45d43074be3a106,,60
670ab1f42b7b7acd385eab3e,Flame 2,66e1fc2de45d43074be3a106,Honey Mustard,19001,19001.1,A creamy mustard sauce,,5,1 tbsp,,"Honey, Dijon Mustard, Red Wine Vinegar, Black Pepper",66e1fc2de45d43074be3a106,,40
670ab1f42b7b7acd385eab48,Flame 2,66e1fc2de45d43074be3a106,Yellow Mustard,47957,47957.10,,,7,1 tbsp,,Yellow Mustard,66e1fc2de45d43074be3a106,,10
670ab1f42b7b7acd385eac59,Flame 2,66e1fc2de45d43074be3a106,Pesto Mayonnaise,23112,23112.0,Pesto Mayonnaise,,8,1 tbsp,,"Mayonnaise, Basil Pesto, Salt, Black Pepper",66e1fc2de45d43074be3a106,,90
670ab1f42b7b7acd385eab50,Flame 2,66e1fc2de45d43074be3a106,Sriracha Hot Chili Sauce,74417,74417.0,,,9,1 tsp,,Hot Chili Sauce,66e1fc2de45d43074be3a106,,0
670ab1f42b7b7acd385eac78,Flame 3,66e1fc2de45d43074be3a107,Tamarind Chili Jam Turkey Burger,169341,169341.0,"Ginger and garlic seasoned grilled turkey burger with a rich, sweet, and spicy tamarind and pasilla chile jam",,1,1 sandwich,,"Turkey, Potato Roll, Sweet Chili Sauce, Jalapeno Peppers, Mayonnaise, Lime Juice, Cilantro, Canola Oil, Hot Chili Sauce, Chili Paste, Garlic, Salt, Garlic, Lime, Tamarind Pasilla Chile Seasoning, Lemon Juice, Ginger (Ginger and Sulfur Dioxide)",66e1fc2de45d43074be3a107,,520
670ab1f42b7b7acd385eac88,Flame 3,66e1fc2de45d43074be3a107,Mini Reuben Slider on Pretzel Bun,32523,32523.5,"Shaved Corned Beef, sauerkraut, and russian dressing on pretzel roll",,2,1 sandwich,,"Corned Beef, Pretzel Bun, Saurekraut (Cabbage, water, salt), 1000 Island Dressing, Swiss Cheese, Butter",66e1fc2de45d43074be3a107,,270
670ab1f42b7b7acd385eac44,Flame 3,66e1fc2de45d43074be3a107,Hamburger on Bun,5305,5305.90,Ground sirloin patty grilled to perfection and served on a white bun.,,3,1 sandwich,,"Beef, Hamburger Bun",66e1fc2de45d43074be3a107,,360
670ab1f42b7b7acd385eac4d,Flame 3,66e1fc2de45d43074be3a107,Curly-Q French Fries,769,769.0,Crisp and golden,,4,1/2 cup,,"Seasoned French Fries, Salt",66e1fc2de45d43074be3a107,,200
670ab1f42b7b7acd385eaaeb,Salad Bar 1,66e1fc2de45d43074be3a0fe,Fat Free Italian Dressing,62355,62355.0,,,1,1 floz,,Italian Dressing,66e1fc2de45d43074be3a0fe,,15
670ab1f42b7b7acd385eaada,Salad Bar 1,66e1fc2de45d43074be3a0fe,Creamy French Salad Dressing,16777,16777.0,,,2,1 ladle-1oz,,French Dressing,66e1fc2de45d43074be3a0fe,,120
670ab1f42b7b7acd385eaaec,Salad Bar 1,66e1fc2de45d43074be3a0fe,Balsamic Vinaigrette Dressing,16776,16776.0,,,3,1 floz,,Balsamic Vinaigrette,66e1fc2de45d43074be3a0fe,,60
670ab1f42b7b7acd385eaaf7,Salad Bar 1,66e1fc2de45d43074be3a0fe,Ranch Dressing,104930,104930.0,,,4,2 tbsp,,"Low Fat Buttermilk, Mayonnaise, Ranch Dressing Mix",66e1fc2de45d43074be3a0fe,,110
670ab1f42b7b7acd385eaaf2,Salad Bar 1,66e1fc2de45d43074be3a0fe,Caesar Dressing,44327,44327.0,,,5,1 floz,,Caesar Dressing,66e1fc2de45d43074be3a0fe,,150
670ab1f42b7b7acd385eaae3,Salad Bar 1,66e1fc2de45d43074be3a0fe,Blue Cheese Dressing,44317,44317.1,,,6,1 floz,,Blue Cheese Dressing,66e1fc2de45d43074be3a0fe,,160
670ab1f42b7b7acd385eaac4,Salad Bar 1,66e1fc2de45d43074be3a0fe,Mandarin Orange Sections,1199,1199.0,Tangy and delicious.,,7,1 ounce,,Mandarin Oranges,66e1fc2de45d43074be3a0fe,,10
670ab1f42b7b7acd385eaacc,Salad Bar 1,66e1fc2de45d43074be3a0fe,Sliced Cucumber,68562,68562.0,,,8,1 ounce,,Cucumber,66e1fc2de45d43074be3a0fe,,0
