id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670ab6d12b7b7acd388e9fdd,Comfort,66e99466351d5306ad498451,Chicken Enchilada Casserole,1877,1877.12,Served with a mild tomato sauce.,,1,1 slice,,"Chicken, Enchilada Sauce, Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Water, Monterey Jack Cheese, Onions, Sour Cream, Romano Cheese, Green Onions, Canola Oil, Chicken Base, Cilantro",66e99466351d5306ad498451,,280
670ab6d12b7b7acd388e9ff8,Comfort,66e99466351d5306ad498451,Adobo Pork Loin,103423,103423.0,"Lime, garlic, and cilantro seasoned pork loin",,2,3 oz meat,,"Pork, Lime Juice, Green Onions, Garlic, Canola Oil, Cilantro, Salt, Cumin, Black Pepper, Oregano",66e99466351d5306ad498451,,180
670ab6d12b7b7acd388e9fd9,Comfort,66e99466351d5306ad498451,Mexican Lasagna,103879,103879.0,"Mexican lasagna made with layers of corn tortilla, pepperjack cheese, green chillis, refried beans and red enchilada sauce.",,3,1 slice,,"Vegetarian Refried Beans, Enchilada Sauce, Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Green Chili Peppers, Pepper Jack Cheese, Onions, Cilantro, Canola Oil, Salt",66e99466351d5306ad498451,,200
670ab6d12b7b7acd388e9fee,Comfort,66e99466351d5306ad498451,Vegetable Tofu Fajita,49762,49762.1,"Latin spiced tofu, peppers, onions, mushrooms, and squashes in a warm tortila",,4,1 each,,"Tofu, Flour Tortilla, Green Bell Peppers, Mushrooms, Onions, Red Bell Peppers, Squash, Zucchini, Canola Oil, Salt, Garlic, Cumin, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Onion, Paprika (Paprika and Silicon Dioxide), Black Pepper",66e99466351d5306ad498451,,160
670ab6d12b7b7acd388e9fe7,Comfort,66e99466351d5306ad498451,Spanish Green Rice,41726,41726.4,"Rice with green chilis, cilantro and green bell peppers",,5,1/2 cup,,"Water, Long Grain White Rice, Green Bell Peppers, Green Chili Peppers, Onions, Canola Oil, Garlic, Cilantro, Vegetable Base, Oregano, Salt",66e99466351d5306ad498451,,100
670ab6d12b7b7acd388ea04d,Comfort,66e99466351d5306ad498451,Roasted Carrots with Cumin & Mint,22663,22663.0,Spice blend of cumin and cinnamon tossed with carrot spears and slow roasted,,6,1/2 cup,,"Carrots, Orange Juice, Lemon Juice, Honey, Olive Oil, Mint, Garlic, Cinnamon, Cumin",66e99466351d5306ad498451,,70
670ab6d12b7b7acd388ea053,Comfort,66e99466351d5306ad498451,Steamed Zucchini,1086,1086.6,,,7,1/2 cup,,"Zucchini, Canola Oil",66e99466351d5306ad498451,,35
670ab6d12b7b7acd388ea02f,Flame,66e99466351d5306ad498452,Grilled Chicken,102407,102407.0,"Boneless chicken breast, grilled to perfection.",,1,4 ounce,,"Chicken, Canola Oil",66e99466351d5306ad498452,,140
670ab6d12b7b7acd388ea027,Flame,66e99466351d5306ad498452,"Grilled Bacon, Tomato and Cheese",6793,6793.0,"Melted cheese, bacon and tomato and freshly grilled bread",,2,1 sandwich,,"Texas Bread, Tomatoes, American Cheese, Canola Oil, Bacon",66e99466351d5306ad498452,,570
670ab6d12b7b7acd388ea02c,Flame,66e99466351d5306ad498452,French Fries,8414,8414.0,,,5,1/2 cup,,French Fries,66e99466351d5306ad498452,,60
